student_id,res_critical,res_participation,assignment,midterm,sec
6342529827,5,3.636363636,3.214285714,10.5,1
6342530327,2.5,0.454545455,1.428571429,10.75,1
6442502927,5,5,5,11.25,1
6442503527,5,5,5,11.875,1
6442504127,5,4.545454545,3.928571429,8.875,1
6442505827,5,5,5,15.125,1
6442507027,5,5,5,12.75,1
6442508727,5,5,5,13.125,1
6442509327,5,5,5,14.125,1
6442510927,5,5,4.642857143,12.75,1
6442512127,5,5,4.285714286,12.125,1
6442513827,5,4.090909091,3.214285714,9.875,1
6442514427,5,4.090909091,5,12.625,1
6442515027,5,5,3.928571429,13.375,1
6442516727,5,5,4.642857143,12.375,1
6442517327,5,5,5,18.875,1
6442518027,2.5,3.636363636,3.571428571,12,1
6442519627,2.5,4.545454545,4.642857143,14.25,1
6442520127,0,3.636363636,1.428571429,9,1
6442521827,2.5,4.090909091,5,12.625,1
6442523027,2.5,4.090909091,4.285714286,15.375,1
6442524727,2.5,4.545454545,4.285714286,18.375,1
6442525327,2.5,4.545454545,3.571428571,17.375,1
6442526027,2.5,5,4.642857143,15.875,1
6442527627,1.25,4.090909091,5,11.75,1
6442528227,2.5,4.545454545,5,14.875,1
6442529927,2.5,4.545454545,4.642857143,13.375,1
6442530427,2.5,4.545454545,4.285714286,11.25,1
6442531027,2.5,4.090909091,4.285714286,18.375,1
6442532727,2.5,4.545454545,5,14.625,1
6441138027,5,5,5,12.375,2
6441149927,5,4.545454545,5,9.625,2
6441151027,5,4.090909091,3.571428571,16.75,2
6441159127,5,5,5,18.75,2
6441160727,5,5,5,21.75,2
6441174527,5,5,5,21.5,2
6441198627,5,3.636363636,3.928571429,11.125,2
6441204727,5,4.090909091,4.285714286,14.375,2
6441208227,5,5,5,12.625,2
6441234527,5,5,5,14.5,2
6441238027,5,5,5,16.5,2
6441246027,5,5,5,14.875,2
6441254027,2.5,3.181818182,1.785714286,12.125,2
6441267227,3.75,5,3.928571429,16.875,2
6441285527,5,4.090909091,4.642857143,13.75,2
6442304027,5,5,4.642857143,19.625,2
6442305627,5,5,4.642857143,18.75,2
6442307927,5,5,5,14,2
6442308527,5,5,5,16.125,2
6442313627,5,4.545454545,4.285714286,19.25,2
6442314227,2.5,4.545454545,2.142857143,12.5,2
6442321627,5,5,5,13.25,2
6442331927,5,3.636363636,4.642857143,17.125,2
6442401127,5,4.545454545,5,12.125,2
6442403427,5,4.090909091,5,9.5,2
6442408627,5,5,5,13.25,2
